LOAD | addr=0 | data=256 + j0
LOAD | addr=512 | data=255 + j0
LOAD | addr=256 | data=255 + j0
LOAD | addr=768 | data=255 + j0
LOAD | addr=128 | data=255 + j0
LOAD | addr=640 | data=255 + j0
LOAD | addr=384 | data=255 + j0
LOAD | addr=896 | data=255 + j0
LOAD | addr=64 | data=255 + j0
LOAD | addr=576 | data=255 + j0
LOAD | addr=320 | data=254 + j0
LOAD | addr=832 | data=254 + j0
LOAD | addr=192 | data=253 + j0
LOAD | addr=704 | data=252 + j0
LOAD | addr=448 | data=250 + j0
LOAD | addr=960 | data=248 + j0
LOAD | addr=32 | data=246 + j0
LOAD | addr=544 | data=244 + j0
LOAD | addr=288 | data=240 + j0
LOAD | addr=800 | data=237 + j0
LOAD | addr=160 | data=233 + j0
LOAD | addr=672 | data=228 + j0
LOAD | addr=416 | data=222 + j0
LOAD | addr=928 | data=216 + j0
LOAD | addr=96 | data=209 + j0
LOAD | addr=608 | data=201 + j0
LOAD | addr=352 | data=193 + j0
LOAD | addr=864 | data=176 + j0
LOAD | addr=224 | data=156 + j0
LOAD | addr=736 | data=135 + j0
LOAD | addr=480 | data=112 + j0
LOAD | addr=992 | data=81 + j0
LOAD | addr=16 | data=1014 + j0
LOAD | addr=528 | data=940 + j0
LOAD | addr=272 | data=908 + j0
LOAD | addr=784 | data=882 + j0
LOAD | addr=144 | data=856 + j0
LOAD | addr=656 | data=831 + j0
LOAD | addr=400 | data=819 + j0
LOAD | addr=912 | data=807 + j0
LOAD | addr=80 | data=797 + j0
LOAD | addr=592 | data=788 + j0
LOAD | addr=336 | data=780 + j0
LOAD | addr=848 | data=774 + j0
LOAD | addr=208 | data=770 + j0
LOAD | addr=720 | data=769 + j0
LOAD | addr=464 | data=769 + j0
LOAD | addr=976 | data=772 + j0
LOAD | addr=48 | data=778 + j0
LOAD | addr=560 | data=787 + j0
LOAD | addr=304 | data=798 + j0
LOAD | addr=816 | data=812 + j0
LOAD | addr=176 | data=828 + j0
LOAD | addr=688 | data=860 + j0
LOAD | addr=432 | data=900 + j0
LOAD | addr=944 | data=957 + j0
LOAD | addr=112 | data=85 + j0
LOAD | addr=624 | data=134 + j0
LOAD | addr=368 | data=176 + j0
LOAD | addr=880 | data=204 + j0
LOAD | addr=240 | data=221 + j0
LOAD | addr=752 | data=236 + j0
LOAD | addr=496 | data=247 + j0
LOAD | addr=1008 | data=254 + j0
LOAD | addr=8 | data=255 + j0
LOAD | addr=520 | data=253 + j0
LOAD | addr=264 | data=246 + j0
LOAD | addr=776 | data=233 + j0
LOAD | addr=136 | data=216 + j0
LOAD | addr=648 | data=194 + j0
LOAD | addr=392 | data=147 + j0
LOAD | addr=904 | data=90 + j0
LOAD | addr=72 | data=938 + j0
LOAD | addr=584 | data=877 + j0
LOAD | addr=328 | data=829 + j0
LOAD | addr=840 | data=806 + j0
LOAD | addr=200 | data=787 + j0
LOAD | addr=712 | data=775 + j0
LOAD | addr=456 | data=769 + j0
LOAD | addr=968 | data=770 + j0
LOAD | addr=40 | data=778 + j0
LOAD | addr=552 | data=794 + j0
LOAD | addr=296 | data=816 + j0
LOAD | addr=808 | data=856 + j0
LOAD | addr=168 | data=919 + j0
LOAD | addr=680 | data=82 + j0
LOAD | addr=424 | data=154 + j0
LOAD | addr=936 | data=203 + j0
LOAD | addr=104 | data=228 + j0
LOAD | addr=616 | data=246 + j0
LOAD | addr=360 | data=255 + j0
LOAD | addr=872 | data=255 + j0
LOAD | addr=232 | data=244 + j0
LOAD | addr=744 | data=225 + j0
LOAD | addr=488 | data=197 + j0
LOAD | addr=1000 | data=135 + j0
LOAD | addr=24 | data=994 + j0
LOAD | addr=536 | data=882 + j0
LOAD | addr=280 | data=823 + j0
LOAD | addr=792 | data=795 + j0
LOAD | addr=152 | data=776 + j0
LOAD | addr=664 | data=769 + j0
LOAD | addr=408 | data=773 + j0
LOAD | addr=920 | data=789 + j0
LOAD | addr=88 | data=816 + j0
LOAD | addr=600 | data=872 + j0
LOAD | addr=344 | data=981 + j0
LOAD | addr=856 | data=140 + j0
