LOAD | addr=996 | data=11244 + j0
LOAD | addr=20 | data=62230 + j0
LOAD | addr=532 | data=53194 + j0
LOAD | addr=276 | data=50333 + j0
LOAD | addr=788 | data=49160 + j0
LOAD | addr=148 | data=49995 + j0
LOAD | addr=660 | data=52664 + j0
LOAD | addr=404 | data=60223 + j0
LOAD | addr=916 | data=10649 + j0
LOAD | addr=84 | data=14739 + j0
LOAD | addr=596 | data=16318 + j0
LOAD | addr=340 | data=15759 + j0
LOAD | addr=852 | data=13176 + j0
LOAD | addr=212 | data=6178 + j0
LOAD | addr=724 | data=55025 + j0
LOAD | addr=468 | data=50752 + j0
LOAD | addr=980 | data=49193 + j0
LOAD | addr=52 | data=49929 + j0
LOAD | addr=564 | data=52789 + j0
LOAD | addr=308 | data=62029 + j0
LOAD | addr=820 | data=12003 + j0
LOAD | addr=180 | data=15318 + j0
LOAD | addr=692 | data=16378 + j0
LOAD | addr=436 | data=14973 + j0
LOAD | addr=948 | data=10696 + j0
LOAD | addr=116 | data=59009 + j0
LOAD | addr=628 | data=51970 + j0
LOAD | addr=372 | data=49484 + j0
LOAD | addr=884 | data=49487 + j0
LOAD | addr=244 | data=52018 + j0
LOAD | addr=756 | data=59333 + j0
LOAD | addr=500 | data=11266 + j0
LOAD | addr=1012 | data=15248 + j0
LOAD | addr=12 | data=16371 + j0
LOAD | addr=524 | data=14731 + j0
LOAD | addr=268 | data=9407 + j0
LOAD | addr=780 | data=57115 + j0
LOAD | addr=140 | data=51096 + j0
LOAD | addr=652 | data=49193 + j0
LOAD | addr=396 | data=50181 + j0
LOAD | addr=908 | data=54247 + j0
LOAD | addr=76 | data=6676 + j0
LOAD | addr=588 | data=13918 + j0
LOAD | addr=332 | data=16254 + j0
LOAD | addr=844 | data=15591 + j0
LOAD | addr=204 | data=11981 + j0
LOAD | addr=716 | data=59383 + j0
LOAD | addr=460 | data=51718 + j0
LOAD | addr=972 | data=49284 + j0
LOAD | addr=44 | data=49995 + j0
LOAD | addr=556 | data=53977 + j0
LOAD | addr=300 | data=6875 + j0
LOAD | addr=812 | data=14164 + j0
LOAD | addr=172 | data=16339 + j0
LOAD | addr=684 | data=15184 + j0
LOAD | addr=428 | data=9975 + j0
LOAD | addr=940 | data=56728 + j0
LOAD | addr=108 | data=50664 + j0
LOAD | addr=620 | data=49161 + j0
LOAD | addr=364 | data=51161 + j0
LOAD | addr=876 | data=58438 + j0
LOAD | addr=236 | data=11804 + j0
LOAD | addr=748 | data=15725 + j0
LOAD | addr=492 | data=16073 + j0
LOAD | addr=1004 | data=12892 + j0
LOAD | addr=28 | data=61025 + j0
LOAD | addr=540 | data=51673 + j0
LOAD | addr=284 | data=49205 + j0
LOAD | addr=796 | data=50500 + j0
LOAD | addr=156 | data=56752 + j0
LOAD | addr=668 | data=10649 + j0
LOAD | addr=412 | data=15552 + j0
LOAD | addr=924 | data=16122 + j0
LOAD | addr=92 | data=12861 + j0
LOAD | addr=604 | data=59973 + j0
LOAD | addr=348 | data=51329 + j0
LOAD | addr=860 | data=49155 + j0
LOAD | addr=220 | data=51063 + j0
LOAD | addr=732 | data=59034 + j0
LOAD | addr=476 | data=12695 + j0
LOAD | addr=988 | data=16116 + j0
LOAD | addr=60 | data=15462 + j0
LOAD | addr=572 | data=9763 + j0
LOAD | addr=316 | data=55234 + j0
LOAD | addr=828 | data=49924 + j0
LOAD | addr=188 | data=49543 + j0
LOAD | addr=700 | data=53445 + j0
LOAD | addr=444 | data=8056 + j0
LOAD | addr=956 | data=15090 + j0
LOAD | addr=124 | data=16236 + j0
LOAD | addr=636 | data=12934 + j0
LOAD | addr=380 | data=59009 + j0
LOAD | addr=892 | data=50835 + j0
LOAD | addr=252 | data=49211 + j0
LOAD | addr=764 | data=52221 + j0
LOAD | addr=508 | data=5413 + j0
LOAD | addr=1020 | data=14529 + j0
LOAD | addr=2 | data=16344 + j0
LOAD | addr=514 | data=13374 + j0
LOAD | addr=258 | data=60023 + j0
LOAD | addr=770 | data=50928 + j0
LOAD | addr=130 | data=49217 + j0
LOAD | addr=642 | data=52420 + j0
LOAD | addr=386 | data=6676 + j0
LOAD | addr=898 | data=14923 + j0
LOAD | addr=66 | data=16216 + j0
LOAD | addr=578 | data=12515 + j0
LOAD | addr=322 | data=57236 + j0
LOAD | addr=834 | data=50127 + j0
LOAD | addr=194 | data=49590 + j0
LOAD | addr=706 | data=54794 + j0
LOAD | addr=450 | data=10626 + j0
LOAD | addr=962 | data=15942 + j0
LOAD | addr=34 | data=15367 + j0
LOAD | addr=546 | data=7836 + j0
LOAD | addr=290 | data=52654 + j0
LOAD | addr=802 | data=49209 + j0
LOAD | addr=162 | data=51228 + j0
LOAD | addr=674 | data=1317 + j0
LOAD | addr=418 | data=14391 + j0
LOAD | addr=930 | data=16301 + j0
LOAD | addr=98 | data=12610 + j0
LOAD | addr=610 | data=56728 + j0
LOAD | addr=354 | data=49846 + j0
LOAD | addr=866 | data=49978 + j0
LOAD | addr=226 | data=57431 + j0
LOAD | addr=738 | data=12995 + j0
LOAD | addr=482 | data=16365 + j0
LOAD | addr=994 | data=13827 + j0
LOAD | addr=18 | data=59423 + j0
LOAD | addr=530 | data=50405 + j0
LOAD | addr=274 | data=49590 + j0
LOAD | addr=786 | data=55821 + j0
LOAD | addr=146 | data=12440 + j0
LOAD | addr=658 | data=16318 + j0
LOAD | addr=402 | data=14051 + j0
LOAD | addr=914 | data=59973 + j0
LOAD | addr=82 | data=50385 + j0
LOAD | addr=594 | data=49662 + j0
LOAD | addr=338 | data=56559 + j0
LOAD | addr=850 | data=12913 + j0
LOAD | addr=210 | data=16378 + j0
LOAD | addr=722 | data=13374 + j0
LOAD | addr=466 | data=57528 + j0
LOAD | addr=978 | data=49801 + j0
LOAD | addr=50 | data=50281 + j0
LOAD | addr=562 | data=60073 + j0
LOAD | addr=306 | data=14258 + j0
LOAD | addr=818 | data=16214 + j0
LOAD | addr=178 | data=10810 + j0
LOAD | addr=690 | data=53237 + j0
LOAD | addr=434 | data=49189 + j0
LOAD | addr=946 | data=51989 + j0
LOAD | addr=114 | data=8056 + j0
LOAD | addr=626 | data=15839 + j0
LOAD | addr=370 | data=14973 + j0
LOAD | addr=882 | data=1628 + j0
LOAD | addr=242 | data=50635 + j0
LOAD | addr=754 | data=49680 + j0
LOAD | addr=498 | data=57626 + j0
LOAD | addr=1010 | data=13735 + j0
LOAD | addr=10 | data=16288 + j0
LOAD | addr=522 | data=10971 + j0
LOAD | addr=266 | data=53032 + j0
LOAD | addr=778 | data=49155 + j0
LOAD | addr=138 | data=52695 + j0
LOAD | addr=650 | data=10372 + j0
LOAD | addr=394 | data=16254 + j0
LOAD | addr=906 | data=13753 + j0
LOAD | addr=74 | data=57236 + j0
LOAD | addr=586 | data=49524 + j0
LOAD | addr=330 | data=51128 + j0
LOAD | addr=842 | data=6602 + j0
LOAD | addr=202 | data=15740 + j0
LOAD | addr=714 | data=14850 + j0
LOAD | addr=458 | data=61025 + j0
LOAD | addr=970 | data=50034 + j0
LOAD | addr=42 | data=50412 + j0
LOAD | addr=554 | data=2634 + j0
LOAD | addr=298 | data=15342 + j0
LOAD | addr=810 | data=15261 + j0
LOAD | addr=170 | data=64878 + j0
LOAD | addr=682 | data=50250 + j0
LOAD | addr=426 | data=50256 + j0
LOAD | addr=938 | data=1317 + j0
LOAD | addr=106 | data=15342 + j0
LOAD | addr=618 | data=15184 + j0
LOAD | addr=362 | data=62230 + j0
LOAD | addr=874 | data=50034 + j0
LOAD | addr=234 | data=50577 + j0
LOAD | addr=746 | data=5263 + j0
LOAD | addr=490 | data=15740 + j0
LOAD | addr=1002 | data=14577 + j0
LOAD | addr=26 | data=58413 + j0
LOAD | addr=538 | data=49524 + j0
LOAD | addr=282 | data=51538 + j0
LOAD | addr=794 | data=8953 + j0
LOAD | addr=154 | data=16254 + j0
LOAD | addr=666 | data=13176 + j0
LOAD | addr=410 | data=54406 + j0
LOAD | addr=922 | data=49155 + j0
LOAD | addr=90 | data=53688 + j0
LOAD | addr=602 | data=12913 + j0
LOAD | addr=346 | data=16288 + j0
LOAD | addr=858 | data=9001 + j0
LOAD | addr=218 | data=51398 + j0
LOAD | addr=730 | data=49680 + j0
LOAD | addr=474 | data=60624 + j0
LOAD | addr=986 | data=15248 + j0
LOAD | addr=58 | data=14973 + j0
LOAD | addr=570 | data=58884 + j0
LOAD | addr=314 | data=49470 + j0
LOAD | addr=826 | data=51989 + j0
LOAD | addr=186 | data=10902 + j0
LOAD | addr=698 | data=16383 + j0
LOAD | addr=442 | data=10810 + j0
LOAD | addr=954 | data=51894 + j0
LOAD | addr=122 | data=49543 + j0
LOAD | addr=634 | data=60073 + j0
LOAD | addr=378 | data=15318 + j0
LOAD | addr=890 | data=14731 + j0
LOAD | addr=250 | data=57528 + j0
LOAD | addr=762 | data=49258 + j0
LOAD | addr=506 | data=52989 + j0
LOAD | addr=1018 | data=12913 + j0
LOAD | addr=6 | data=16185 + j0
LOAD | addr=518 | data=6850 + j0
LOAD | addr=262 | data=50385 + j0
LOAD | addr=774 | data=50730 + j0
LOAD | addr=134 | data=8154 + j0
LOAD | addr=646 | data=16318 + j0
LOAD | addr=390 | data=11981 + j0
LOAD | addr=902 | data=52085 + j0
LOAD | addr=70 | data=49590 + j0
LOAD | addr=582 | data=62281 + j0
LOAD | addr=326 | data=15740 + j0
LOAD | addr=838 | data=13827 + j0
LOAD | addr=198 | data=54225 + j0
LOAD | addr=710 | data=49195 + j0
LOAD | addr=454 | data=57431 + j0
LOAD | addr=966 | data=14980 + j0
LOAD | addr=38 | data=14799 + j0
LOAD | addr=550 | data=56728 + j0
LOAD | addr=294 | data=49161 + j0
LOAD | addr=806 | data=55351 + j0
